9.033,47.800
9.033,47.817
9.050,47.817
9.083,47.800
9.183,47.775
9.233,47.733
9.233,47.717
9.283,47.683
9.350,47.660
9.400,47.667
9.417,47.667
9.433,47.650
9.517,47.633
9.517,47.617
9.550,47.583
9.600,47.583
9.617,47.567
9.683,47.551
9.683,47.540
9.685,47.540
9.685,47.551
9.717,47.550
9.750,47.525
9.750,47.505
9.650,47.505
9.600,47.4836
9.583,47.4834
9.580,47.484
9.567,47.5
9.544,47.4752
9.483,47.4750
9.433,47.516
9.383,47.550
9.383,47.567
9.317,47.600
9.283,47.617
9.183,47.650
9.183,47.667
9.217,47.667
9.215,47.683
9.183,47.700
9.200,47.700
9.200,47.708
9.185,47.708
9.190,47.734
9.150,47.750
9.133,47.750
9.083,47.767
9.033,47.800
